Time (s)	Speed (mph)	Speed (m/s)	Acceleration (m/s^2)	Fa (N)	Fr (N)	Ft (N)	PFt (W)
0	0.0	0.0	0.0	0.0	1303.4	1303.4	0.0
1	0.0	0.0	0.0	0.0	1303.4	1303.4	0.0
2	0.0	0.0	0.0	0.0	1303.4	1303.4	0.0
3	0.0	0.0	0.0	0.0	1303.4	1303.4	0.0
4	0.0	0.0	0.0	0.0	1303.4	1303.4	0.0
5	0.0	0.0	0.0	0.0	1303.4	1303.4	0.0
6	0.0	0.0	0.0	0.0	1303.4	1303.4	0.0
7	0.0	0.0	0.0	0.0	1303.4	1303.4	0.0
8	0.0	0.0	0.0	0.0	1303.4	1303.4	0.0
9	0.0	0.0	0.0	0.0	1303.4	1303.4	0.0
10	0.0	0.0	0.0	0.0	1303.4	1303.4	0.0
11	0.0	0.0	0.0	0.0	1303.4	1303.4	0.0
12	0.0	0.0	0.0	0.0	1303.4	1303.4	0.0
13	0.0	0.0	0.0	0.0	1303.4	1303.4	0.0
14	0.0	0.0	0.0	0.0	1303.4	1303.4	0.0
15	0.0	0.0	0.0	0.0	1303.4	1303.4	0.0
16	0.0	0.0	0.0	0.0	1303.4	1303.4	0.0
17	0.0	0.0	0.0	0.0	1303.4	1303.4	0.0
18	0.0	0.0	0.0	0.0	1303.4	1303.4	0.0
19	0.0	0.0	0.0	0.0	1303.4	1303.4	0.0
20	0.0	0.0	0.67056	0.0	1303.4	10691.24	0.0
21	3.0	1.34112	1.3187680000000002	4.2111587931494405	1303.4	19770.363158793156	26514.429439520678
22	5.9	2.6375360000000003	1.251712	16.28782639883689	1303.4	18843.65582639884	49700.8206137367
23	8.6	3.844544	1.2517119999999997	34.60636714903695	1303.4	18861.974367149036	72515.69038137663
24	11.5	5.14096	1.274064	61.88063893266815	1303.4	19202.17663893267	98717.62201368729
25	14.3	6.392672	1.2070079999999996	95.68220684568101	1303.4	18297.194206845677	116967.96108466457
26	16.9	7.554975999999999	0.67056	133.63878476793457	1303.4	10824.878784767934	81781.6994218309
27	17.3	7.733792	0.26822400000000046	140.03974613352176	1303.4	5198.575746133529	40204.70351684152
28	18.1	8.091424	0.7599679999999993	153.29085913596532	1303.4	12096.242859135955	97875.82978024129
29	20.7	9.253727999999999	0.804672	200.49327014184476	1303.4	12769.301270141847	118163.64070394715
30	21.7	9.700768	0.3799840000000003	220.33250712290442	1303.4	6843.50850712291	66387.2883336257
31	22.4	10.013696	0.1788160000000003	234.77678178340696	1303.4	4041.6007817834115	40471.36158214142
32	22.5	10.0584	-0.06705599999999912	236.877682114656	1303.4	601.4936821146684	6050.0640521821815
33	22.1	9.879584000000001	-0.2235200000000006	228.5302295735687	1303.4	-1597.3497704264396	0.0
34	21.5	9.61136	-0.2682240000000009	216.2897946814809	1303.4	-2235.4462053185316	0.0
35	20.9	9.343136	-0.2458720000000003	204.3862524928452	1303.4	-1934.4217475071587	0.0
36	20.4	9.119615999999999	-0.24587199999999942	194.72398259523004	1303.4	-1944.0840174047617	0.0
37	19.8	8.851392	-0.7599679999999993	183.43807702958964	1303.4	-9152.7139229704	0.0
38	17.0	7.59968	-1.0952480000000002	135.22498791335423	1303.4	-13894.84701208665	0.0
39	14.9	6.660896	-0.46939200000000003	103.87992929634522	1303.4	-5164.208070703655	0.0
40	14.9	6.660896	0.06705599999999956	103.87992929634522	1303.4	2346.063929296339	15626.88784239427
41	15.2	6.795007999999999	0.134112	108.10512528547181	1303.4	3289.073125285472	22349.27819889978
42	15.5	6.92912	0.1788160000000003	112.41454445046143	1303.4	3919.238544450466	27156.874183122614
43	16.0	7.15264	0.35763200000000017	119.78407233847295	1303.4	6430.032072338476	45991.70460189108
44	17.1	7.6443840000000005	0.6929120000000006	136.82054918942532	1303.4	11140.988549189435	85165.99460960693
45	19.1	8.538464000000001	0.8940799999999998	170.69698214764972	1303.4	13991.216982147647	119463.50251825634
46	21.1	9.432544	0.8046719999999992	208.31666736645133	1303.4	12777.12466736644	120520.7906184193
47	22.7	10.147808	0.40233599999999914	241.10755716910828	1303.4	7177.211557169096	72832.964857533
48	22.9	10.237215999999998	0.0	245.37486474616634	1303.4	1548.7748647461665	15855.14282577729
49	22.7	10.147808	-0.06705599999999912	241.10755716910828	1303.4	605.7235571691208	6146.766359229261
50	22.6	10.103104	-0.31292799999999943	238.98794057655644	1303.4	-2838.604059423435	0.0
51	21.3	9.521952	-0.804672	212.28451476266326	1303.4	-9749.723485237339	0.0
52	19.0	8.49376	-0.9387840000000001	168.91425825854975	1303.4	-11670.66174174145	0.0
53	17.1	7.6443840000000005	-0.7152639999999999	136.82054918942532	1303.4	-8573.475450810573	0.0
54	15.8	7.063232	-0.29057600000000017	116.80818679131401	1303.4	-2647.8558132086882	0.0
55	15.8	7.063232	0.42468799999999973	116.80818679131401	1303.4	7365.840186791311	52026.638114230365
56	17.7	7.912608	0.8940800000000002	146.590437589532	1303.4	13967.110437589534	110516.26978535444
57	19.8	8.851392	0.8717280000000005	183.43807702958964	1303.4	13691.030077029596	121184.67409557916
58	21.6	9.656064	0.7599679999999998	218.306471836867	1303.4	12161.258471836863	117429.89012459895
59	23.2	10.371328	0.5811519999999994	251.84601209163938	1303.4	9691.374012091632	100512.41865007828
60	24.2	10.818368	0.3129280000000003	274.02478173555977	1303.4	5958.416781735565	64460.345442191014
61	24.6	10.997184	0.15646399999999971	283.1583172513684	1303.4	3777.0543172513644	41536.96130480763
62	24.9	11.131295999999999	0.08940799999999971	290.1067292600648	1303.4	2845.218729260061	31670.971860137597
63	25.0	11.176	-0.06705599999999912	292.4415828576	1303.4	657.0575828576125	7343.275546016677
64	24.6	10.997184	-0.1117600000000003	283.1583172513684	1303.4	21.918317251364215	241.03976778362653
65	24.5	10.95248	0.022351999999999705	280.860896176439	1303.4	1897.188896176435	20778.92344159448
66	24.7	11.041888	0.067056	285.4650964569491	1303.4	2527.6490964569493	27910.01822637883
67	24.8	11.086592	0.0	287.78123379318123	1303.4	1591.1812337931813	17640.77713712161
68	24.7	11.041888	-0.04470399999999941	285.4650964569491	1303.4	963.0090964569574	10633.438586058921
69	24.6	10.997184	-0.022351999999999705	283.1583172513684	1303.4	1273.6303172513726	14006.34694679172
70	24.6	10.997184	0.1117600000000003	283.1583172513684	1303.4	3151.198317251373	34654.30771530372
71	25.1	11.220704000000001	0.22351999999999972	294.78579458578656	1303.4	4727.465794585783	53045.49435117189
72	25.6	11.444224	0.13411199999999912	306.6472251864908	1303.4	3487.6152251864787	39913.049862844506
73	25.7	11.488928	-0.0447040000000003	309.0475856985859	1303.4	986.5915856985819	11334.879693496836
74	25.4	11.354816	-0.1788160000000003	301.8745785542547	1303.4	-898.1494214457498	0.0
75	24.9	11.131295999999999	-0.08940799999999971	290.1067292600648	1303.4	341.79472926006906	3804.6183026336894
76	25.0	11.176	0.1117600000000003	292.4415828576	1303.4	3160.4815828576043	35321.54217001658
77	25.4	11.354816	0.22351999999999972	301.8745785542547	1303.4	4734.554578554251	53759.99608144106
78	26.0	11.62304	0.134112	316.30481601878006	1303.4	3497.2728160187803	40648.94183149892
79	26.0	11.62304	-0.067056	316.30481601878006	1303.4	680.92081601878	7914.36988141892
80	25.7	11.488928	0.022352000000000594	309.0475856985859	1303.4	1925.3755856985943	22120.50147704898
81	26.1	11.667744	0.22351999999999972	318.74260905348115	1303.4	4751.422609053478	55438.38263824806
82	26.7	11.935967999999999	0.31292799999999943	333.56588800536707	1303.4	6017.95788800536	71830.15277657955
83	27.5	12.2936	0.4246880000000006	353.85431525769593	1303.4	7602.886315257705	93466.84320525212
84	28.6	12.785344	0.402336	382.72882738272403	1303.4	7318.832827382725	93573.79537658076
85	29.3	13.098272	0.268224	401.69307914787356	1303.4	5460.229079147874	71519.56566098837
86	29.8	13.321792	0.1788160000000003	415.5197171853809	1303.4	4222.343717185386	56249.18475285053
87	30.1	13.455904	0.13411199999999912	423.92799757570265	1303.4	3604.89599757569	48507.13447336272
88	30.4	13.590015999999999	0.134112	432.42050114188726	1303.4	3613.3885011418874	49106.00754473426
89	30.7	13.724128	0.06705600000000089	440.99722788393507	1303.4	2683.181227883948	36824.32261867647
90	30.7	13.724128	-0.0447040000000003	440.99722788393507	1303.4	1118.541227883931	15351.002984756238
91	30.5	13.63472	-0.06705600000000089	435.27005192525183	1303.4	799.8860519252394	10906.2223499061
92	30.4	13.590015999999999	-0.04470399999999941	432.42050114188726	1303.4	1109.9645011418957	15084.435329950378
93	30.3	13.545312000000001	0.0	429.5803084891744	1303.4	1732.9803084891746	23473.75896834212
94	30.4	13.590015999999999	0.11175999999999942	432.42050114188726	1303.4	3300.4605011418794	44853.31101788615
95	30.8	13.768832	0.0	443.8748530592538	1303.4	1747.274853059254	24057.933909597552
96	30.4	13.590015999999999	-0.201168	432.42050114188726	1303.4	-1080.531498858113	0.0
97	29.9	13.366496	-0.20116799999999913	418.31311918483675	1303.4	-1094.638880815151	0.0
98	29.5	13.18768	-0.022351999999999705	407.19565997092224	1303.4	1397.6676599709265	18431.99384604539
99	29.8	13.321792	0.1788160000000003	415.5197171853809	1303.4	4222.343717185386	56249.18475285053
100	30.3	13.545312000000001	0.201168	429.5803084891744	1303.4	4549.3323084891745	61622.12551016612
101	30.7	13.724128	0.13411199999999912	440.99722788393507	1303.4	3621.965227883923	49708.31439902813
102	30.9	13.813536	0.067056	446.761836365224	1303.4	2688.9458363652243	37143.85011268113
103	31.0	13.85824	0.0	449.65817780184574	1303.4	1753.0581778018459	24294.300961940655
104	30.9	13.813536	-0.1341120000000009	446.761836365224	1303.4	-127.4061636347883	0.0
105	30.4	13.590015999999999	-0.24587199999999942	432.42050114188726	1303.4	-1706.3874988581047	0.0
106	29.8	13.321792	-0.11175999999999942	415.5197171853809	1303.4	154.27971718538902	2055.282302162578
107	29.9	13.366496	0.08940799999999971	418.31311918483675	1303.4	2973.4251191848325	39744.27496188359
